Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,191,0,109,0.0,1.0
2,175,0,125,0.0,1.0
3,172,0,128,0.0,1.0
4,171,0,129,0.0,1.0
5,171,0,129,0.0,1.0
6,171,0,129,0.0,1.0
7,171,0,129,0.0,1.0
8,171,0,129,0.0,1.0
9,171,0,129,0.0,1.0
10,171,0,129,0.0,1.0
11,171,0,129,0.0,1.0
12,171,0,129,0.0,1.0
13,171,0,129,0.0,1.0
14,171,0,129,0.0,1.0
15,171,0,129,0.0,1.0
16,171,0,129,0.0,1.0
17,171,0,129,0.0,1.0
18,171,0,129,0.0,1.0
19,171,0,129,0.0,1.0
20,171,0,129,0.0,1.0
21,171,0,129,0.0,1.0
22,171,0,129,0.0,1.0
23,171,0,129,0.0,1.0
24,171,0,129,0.0,1.0
25,171,0,129,0.0,1.0
26,171,0,129,0.0,1.0
27,171,0,129,0.0,1.0
28,171,0,129,0.0,1.0
29,171,0,129,0.0,1.0
30,171,0,129,0.0,1.0
1,197,9,94,0.1,0.9
2,190,6,104,0.1,0.9
3,185,4,111,0.1,0.9
4,178,7,115,0.1,0.9
5,175,6,119,0.1,0.9
6,178,10,112,0.1,0.9
7,171,9,120,0.1,0.9
8,172,8,120,0.1,0.9
9,171,8,121,0.1,0.9
10,170,9,121,0.1,0.9
11,172,8,120,0.1,0.9
12,170,9,121,0.1,0.9
13,170,9,121,0.1,0.9
14,171,9,120,0.1,0.9
15,172,9,119,0.1,0.9
16,169,10,121,0.1,0.9
17,172,9,119,0.1,0.9
18,168,10,122,0.1,0.9
19,168,13,119,0.1,0.9
20,168,11,121,0.1,0.9
21,163,11,126,0.1,0.9
22,172,11,117,0.1,0.9
23,161,12,127,0.1,0.9
24,162,14,124,0.1,0.9
25,163,15,122,0.1,0.9
26,171,15,114,0.1,0.9
27,168,11,121,0.1,0.9
28,170,11,119,0.1,0.9
29,172,11,117,0.1,0.9
30,170,11,119,0.1,0.9
1,203,14,83,0.2,0.8
2,194,18,88,0.2,0.8
3,191,20,89,0.2,0.8
4,186,21,93,0.2,0.8
5,182,25,93,0.2,0.8
6,180,22,98,0.2,0.8
7,185,31,84,0.2,0.8
8,179,31,90,0.2,0.8
9,181,26,93,0.2,0.8
10,180,24,96,0.2,0.8
11,184,26,90,0.2,0.8
12,187,27,86,0.2,0.8
13,185,28,87,0.2,0.8
14,177,30,93,0.2,0.8
15,178,29,93,0.2,0.8
16,177,33,90,0.2,0.8
17,177,33,90,0.2,0.8
18,179,37,84,0.2,0.8
19,191,33,76,0.2,0.8
20,187,37,76,0.2,0.8
21,174,36,90,0.2,0.8
22,179,31,90,0.2,0.8
23,182,32,86,0.2,0.8
24,180,28,92,0.2,0.8
25,182,26,92,0.2,0.8
26,177,29,94,0.2,0.8
27,171,29,100,0.2,0.8
28,174,28,98,0.2,0.8
29,169,34,97,0.2,0.8
30,172,34,94,0.2,0.8
1,202,34,64,0.3,0.7
2,189,35,76,0.3,0.7
3,190,37,73,0.3,0.7
4,186,38,76,0.3,0.7
5,192,37,71,0.3,0.7
6,180,44,76,0.3,0.7
7,185,54,61,0.3,0.7
8,179,59,62,0.3,0.7
9,173,64,63,0.3,0.7
10,183,51,66,0.3,0.7
11,189,42,69,0.3,0.7
12,178,46,76,0.3,0.7
13,181,47,72,0.3,0.7
14,187,48,65,0.3,0.7
15,173,60,67,0.3,0.7
16,176,66,58,0.3,0.7
17,167,67,66,0.3,0.7
18,164,80,56,0.3,0.7
19,174,76,50,0.3,0.7
20,169,78,53,0.3,0.7
21,163,80,57,0.3,0.7
22,176,69,55,0.3,0.7
23,169,78,53,0.3,0.7
24,160,81,59,0.3,0.7
25,165,81,54,0.3,0.7
26,167,81,52,0.3,0.7
27,159,88,53,0.3,0.7
28,169,84,47,0.3,0.7
29,173,74,53,0.3,0.7
30,169,74,57,0.3,0.7
1,194,55,51,0.4,0.6
2,187,68,45,0.4,0.6
3,173,85,42,0.4,0.6
4,165,91,44,0.4,0.6
5,155,102,43,0.4,0.6
6,151,112,37,0.4,0.6
7,140,121,39,0.4,0.6
8,152,117,31,0.4,0.6
9,145,124,31,0.4,0.6
10,144,124,32,0.4,0.6
11,135,134,31,0.4,0.6
12,124,141,35,0.4,0.6
13,126,144,30,0.4,0.6
14,124,139,37,0.4,0.6
15,123,143,34,0.4,0.6
16,120,144,36,0.4,0.6
17,124,141,35,0.4,0.6
18,124,148,28,0.4,0.6
19,118,160,22,0.4,0.6
