Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,192,0,108,0.0,1.0
2,175,0,125,0.0,1.0
3,174,0,126,0.0,1.0
4,172,0,128,0.0,1.0
5,171,0,129,0.0,1.0
6,171,0,129,0.0,1.0
7,171,0,129,0.0,1.0
8,171,0,129,0.0,1.0
9,171,0,129,0.0,1.0
10,171,0,129,0.0,1.0
11,171,0,129,0.0,1.0
12,171,0,129,0.0,1.0
13,171,0,129,0.0,1.0
14,171,0,129,0.0,1.0
15,171,0,129,0.0,1.0
16,171,0,129,0.0,1.0
17,171,0,129,0.0,1.0
18,171,0,129,0.0,1.0
19,171,0,129,0.0,1.0
20,171,0,129,0.0,1.0
21,171,0,129,0.0,1.0
22,171,0,129,0.0,1.0
23,171,0,129,0.0,1.0
24,171,0,129,0.0,1.0
25,171,0,129,0.0,1.0
26,171,0,129,0.0,1.0
27,171,0,129,0.0,1.0
28,171,0,129,0.0,1.0
29,171,0,129,0.0,1.0
30,171,0,129,0.0,1.0
1,208,6,86,0.1,0.9
2,180,6,114,0.1,0.9
3,175,8,117,0.1,0.9
4,182,8,110,0.1,0.9
5,178,8,114,0.1,0.9
6,175,8,117,0.1,0.9
7,179,5,116,0.1,0.9
8,182,4,114,0.1,0.9
9,177,5,118,0.1,0.9
10,176,5,119,0.1,0.9
11,176,7,117,0.1,0.9
12,176,7,117,0.1,0.9
13,176,8,116,0.1,0.9
14,181,10,109,0.1,0.9
15,178,12,110,0.1,0.9
16,174,14,112,0.1,0.9
17,170,14,116,0.1,0.9
18,171,15,114,0.1,0.9
19,177,10,113,0.1,0.9
20,174,10,116,0.1,0.9
21,173,12,115,0.1,0.9
22,180,10,110,0.1,0.9
23,173,12,115,0.1,0.9
24,174,11,115,0.1,0.9
25,175,11,114,0.1,0.9
26,176,12,112,0.1,0.9
27,177,12,111,0.1,0.9
28,171,14,115,0.1,0.9
29,174,14,112,0.1,0.9
30,176,10,114,0.1,0.9
1,213,13,74,0.2,0.8
2,184,15,101,0.2,0.8
3,183,16,101,0.2,0.8
4,193,13,94,0.2,0.8
5,185,16,99,0.2,0.8
6,184,25,91,0.2,0.8
7,189,23,88,0.2,0.8
8,185,24,91,0.2,0.8
9,196,18,86,0.2,0.8
10,183,23,94,0.2,0.8
11,184,18,98,0.2,0.8
12,183,16,101,0.2,0.8
13,191,17,92,0.2,0.8
