Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,186,0,114,0.0,1.0
2,171,0,129,0.0,1.0
3,169,0,131,0.0,1.0
4,168,0,132,0.0,1.0
5,167,0,133,0.0,1.0
6,167,0,133,0.0,1.0
7,167,0,133,0.0,1.0
8,167,0,133,0.0,1.0
9,167,0,133,0.0,1.0
10,167,0,133,0.0,1.0
11,167,0,133,0.0,1.0
12,167,0,133,0.0,1.0
13,167,0,133,0.0,1.0
14,167,0,133,0.0,1.0
15,167,0,133,0.0,1.0
16,167,0,133,0.0,1.0
17,167,0,133,0.0,1.0
18,167,0,133,0.0,1.0
19,167,0,133,0.0,1.0
20,167,0,133,0.0,1.0
21,167,0,133,0.0,1.0
22,167,0,133,0.0,1.0
23,167,0,133,0.0,1.0
24,167,0,133,0.0,1.0
25,167,0,133,0.0,1.0
26,167,0,133,0.0,1.0
27,167,0,133,0.0,1.0
28,167,0,133,0.0,1.0
29,167,0,133,0.0,1.0
30,167,0,133,0.0,1.0
1,195,8,97,0.1,0.9
2,186,3,111,0.1,0.9
3,183,4,113,0.1,0.9
4,176,6,118,0.1,0.9
5,175,5,120,0.1,0.9
6,177,5,118,0.1,0.9
7,180,3,117,0.1,0.9
8,179,2,119,0.1,0.9
9,179,2,119,0.1,0.9
10,182,3,115,0.1,0.9
11,180,4,116,0.1,0.9
12,174,4,122,0.1,0.9
13,176,4,120,0.1,0.9
14,179,4,117,0.1,0.9
15,179,2,119,0.1,0.9
16,175,1,124,0.1,0.9
17,180,3,117,0.1,0.9
18,178,2,120,0.1,0.9
19,175,4,121,0.1,0.9
20,177,5,118,0.1,0.9
21,184,2,114,0.1,0.9
22,180,2,118,0.1,0.9
23,180,1,119,0.1,0.9
24,178,2,120,0.1,0.9
25,173,1,126,0.1,0.9
26,177,1,122,0.1,0.9
27,175,2,123,0.1,0.9
28,177,4,119,0.1,0.9
29,177,8,115,0.1,0.9
30,187,2,111,0.1,0.9
1,210,15,75,0.2,0.8
2,213,7,80,0.2,0.8
3,201,10,89,0.2,0.8
4,194,13,93,0.2,0.8
5,184,14,102,0.2,0.8
6,199,6,95,0.2,0.8
7,198,4,98,0.2,0.8
8,193,5,102,0.2,0.8
9,188,3,109,0.2,0.8
10,198,5,97,0.2,0.8
11,184,7,109,0.2,0.8
12,190,10,100,0.2,0.8
13,189,9,102,0.2,0.8
14,191,9,100,0.2,0.8
15,198,10,92,0.2,0.8
16,187,8,105,0.2,0.8
17,189,7,104,0.2,0.8
18,192,3,105,0.2,0.8
19,192,8,100,0.2,0.8
20,188,11,101,0.2,0.8
21,185,9,106,0.2,0.8
22,191,12,97,0.2,0.8
23,199,15,86,0.2,0.8
24,191,9,100,0.2,0.8
25,190,13,97,0.2,0.8
26,201,12,87,0.2,0.8
27,189,14,97,0.2,0.8
28,184,13,103,0.2,0.8
29,191,8,101,0.2,0.8
30,181,14,105,0.2,0.8
1,204,21,75,0.3,0.7
2,194,21,85,0.3,0.7
3,193,19,88,0.3,0.7
4,202,19,79,0.3,0.7
5,202,29,69,0.3,0.7
6,196,34,70,0.3,0.7
7,196,27,77,0.3,0.7
8,208,23,69,0.3,0.7
9,201,29,70,0.3,0.7
10,203,36,61,0.3,0.7
11,205,42,53,0.3,0.7
12,207,44,49,0.3,0.7
13,193,39,68,0.3,0.7
14,186,36,78,0.3,0.7
15,197,25,78,0.3,0.7
16,212,17,71,0.3,0.7
17,200,22,78,0.3,0.7
18,203,27,70,0.3,0.7
19,193,32,75,0.3,0.7
20,204,24,72,0.3,0.7
21,197,26,77,0.3,0.7
22,205,23,72,0.3,0.7
23,195,36,69,0.3,0.7
24,186,43,71,0.3,0.7
25,193,35,72,0.3,0.7
26,201,31,68,0.3,0.7
27,193,31,76,0.3,0.7
28,191,32,77,0.3,0.7
29,194,30,76,0.3,0.7
