pg,Sitios Vazios,Particulas Pequenas,Particulas Grandes
0.0,0.5861666666666666,299.41383333333334,0.0
0.09999999999999998,0.8105,299.17766666666665,0.011833333333333333
0.19999999999999996,1.2395,298.7223333333333,0.03816666666666667
0.30000000000000004,1.9085,297.99333333333334,0.09816666666666667
0.4,3.3545,296.37516666666664,0.2703333333333333
0.5,9.345666666666666,289.604,1.0503333333333333
0.6,139.22233333333332,133.63716666666667,27.1405
0.7,194.79,35.34433333333333,69.86566666666667
0.8,190.35333333333332,10.799333333333333,98.84733333333334
0.9,176.73183333333333,2.3265,120.94166666666666
1.0,169.89966666666666,0.0,130.10033333333334
