pg,Sitios Vazios,Particulas Pequenas,Particulas Grandes
0.0,0.578,299.422,0.0
0.09999999999999998,0.8531666666666666,299.13866666666667,0.008166666666666666
0.19999999999999996,1.2113333333333334,298.76883333333336,0.019833333333333335
0.30000000000000004,2.021333333333333,297.9153333333333,0.06333333333333334
0.4,3.5693333333333332,296.26733333333334,0.16333333333333333
0.5,24.2505,274.60116666666664,1.1483333333333334
0.6,204.58683333333335,55.91416666666667,39.499
0.7,207.79983333333334,17.666833333333333,74.53333333333333
0.8,193.94683333333333,5.452833333333333,100.60033333333334
0.9,177.39483333333334,1.1581666666666666,121.447
1.0,171.0025,0.0,128.9975
