Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,194,0,106,0.0,1.0
2,172,0,128,0.0,1.0
3,170,0,130,0.0,1.0
4,170,0,130,0.0,1.0
5,170,0,130,0.0,1.0
6,170,0,130,0.0,1.0
7,170,0,130,0.0,1.0
8,170,0,130,0.0,1.0
9,170,0,130,0.0,1.0
10,170,0,130,0.0,1.0
11,170,0,130,0.0,1.0
12,170,0,130,0.0,1.0
13,170,0,130,0.0,1.0
14,170,0,130,0.0,1.0
15,170,0,130,0.0,1.0
16,170,0,130,0.0,1.0
17,170,0,130,0.0,1.0
18,170,0,130,0.0,1.0
19,170,0,130,0.0,1.0
20,170,0,130,0.0,1.0
21,170,0,130,0.0,1.0
22,170,0,130,0.0,1.0
23,170,0,130,0.0,1.0
24,170,0,130,0.0,1.0
25,170,0,130,0.0,1.0
26,170,0,130,0.0,1.0
27,170,0,130,0.0,1.0
28,170,0,130,0.0,1.0
29,170,0,130,0.0,1.0
30,170,0,130,0.0,1.0
1,200,3,97,0.1,0.9
2,187,2,111,0.1,0.9
3,183,0,117,0.1,0.9
4,185,1,114,0.1,0.9
5,176,2,122,0.1,0.9
6,173,1,126,0.1,0.9
7,171,3,126,0.1,0.9
8,168,1,131,0.1,0.9
9,172,1,127,0.1,0.9
10,173,2,125,0.1,0.9
11,178,1,121,0.1,0.9
12,182,0,118,0.1,0.9
13,180,2,118,0.1,0.9
14,174,2,124,0.1,0.9
15,171,1,128,0.1,0.9
16,177,0,123,0.1,0.9
17,179,0,121,0.1,0.9
18,173,0,127,0.1,0.9
19,177,4,119,0.1,0.9
20,176,2,122,0.1,0.9
21,178,4,118,0.1,0.9
22,177,4,119,0.1,0.9
23,181,2,117,0.1,0.9
24,175,1,124,0.1,0.9
25,172,0,128,0.1,0.9
26,172,0,128,0.1,0.9
27,177,0,123,0.1,0.9
28,171,1,128,0.1,0.9
29,170,3,127,0.1,0.9
30,172,5,123,0.1,0.9
1,206,11,83,0.2,0.8
2,204,10,86,0.2,0.8
3,195,11,94,0.2,0.8
4,188,13,99,0.2,0.8
5,191,9,100,0.2,0.8
6,192,14,94,0.2,0.8
7,191,11,98,0.2,0.8
8,190,11,99,0.2,0.8
9,192,8,100,0.2,0.8
10,189,13,98,0.2,0.8
11,186,15,99,0.2,0.8
12,184,16,100,0.2,0.8
