Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,196,0,104,0.0,1.0
2,175,0,125,0.0,1.0
3,172,0,128,0.0,1.0
4,172,0,128,0.0,1.0
5,172,0,128,0.0,1.0
6,172,0,128,0.0,1.0
7,171,0,129,0.0,1.0
8,171,0,129,0.0,1.0
9,171,0,129,0.0,1.0
10,171,0,129,0.0,1.0
11,171,0,129,0.0,1.0
12,171,0,129,0.0,1.0
13,171,0,129,0.0,1.0
14,171,0,129,0.0,1.0
15,171,0,129,0.0,1.0
16,171,0,129,0.0,1.0
17,171,0,129,0.0,1.0
18,171,0,129,0.0,1.0
19,171,0,129,0.0,1.0
20,171,0,129,0.0,1.0
21,171,0,129,0.0,1.0
22,171,0,129,0.0,1.0
23,171,0,129,0.0,1.0
24,171,0,129,0.0,1.0
25,171,0,129,0.0,1.0
26,171,0,129,0.0,1.0
27,171,0,129,0.0,1.0
28,171,0,129,0.0,1.0
29,171,0,129,0.0,1.0
30,171,0,129,0.0,1.0
1,196,6,98,0.1,0.9
2,192,5,103,0.1,0.9
3,183,1,116,0.1,0.9
4,186,1,113,0.1,0.9
5,180,2,118,0.1,0.9
6,176,6,118,0.1,0.9
7,184,4,112,0.1,0.9
8,180,1,119,0.1,0.9
9,184,2,114,0.1,0.9
10,179,2,119,0.1,0.9
11,177,3,120,0.1,0.9
12,178,5,117,0.1,0.9
13,172,5,123,0.1,0.9
14,179,3,118,0.1,0.9
15,171,5,124,0.1,0.9
16,184,3,113,0.1,0.9
17,182,4,114,0.1,0.9
18,177,5,118,0.1,0.9
19,178,6,116,0.1,0.9
20,181,5,114,0.1,0.9
21,178,2,120,0.1,0.9
22,174,4,122,0.1,0.9
23,179,4,117,0.1,0.9
24,182,4,114,0.1,0.9
25,186,3,111,0.1,0.9
26,183,2,115,0.1,0.9
27,180,1,119,0.1,0.9
28,181,0,119,0.1,0.9
29,178,2,120,0.1,0.9
30,178,1,121,0.1,0.9
1,205,10,85,0.2,0.8
2,199,11,90,0.2,0.8
3,191,10,99,0.2,0.8
4,189,9,102,0.2,0.8
5,192,13,95,0.2,0.8
6,193,10,97,0.2,0.8
7,181,12,107,0.2,0.8
8,188,9,103,0.2,0.8
9,193,9,98,0.2,0.8
10,188,12,100,0.2,0.8
11,189,11,100,0.2,0.8
12,191,10,99,0.2,0.8
13,191,7,102,0.2,0.8
14,199,6,95,0.2,0.8
15,190,7,103,0.2,0.8
16,195,10,95,0.2,0.8
17,186,14,100,0.2,0.8
18,188,11,101,0.2,0.8
19,198,9,93,0.2,0.8
20,189,16,95,0.2,0.8
21,203,12,85,0.2,0.8
22,193,11,96,0.2,0.8
23,198,7,95,0.2,0.8
