Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,189,0,111,0.0,1.0
2,174,0,126,0.0,1.0
3,167,0,133,0.0,1.0
4,167,0,133,0.0,1.0
5,167,0,133,0.0,1.0
6,167,0,133,0.0,1.0
7,167,0,133,0.0,1.0
8,167,0,133,0.0,1.0
9,167,0,133,0.0,1.0
10,167,0,133,0.0,1.0
11,167,0,133,0.0,1.0
12,167,0,133,0.0,1.0
13,167,0,133,0.0,1.0
14,167,0,133,0.0,1.0
15,167,0,133,0.0,1.0
16,167,0,133,0.0,1.0
17,167,0,133,0.0,1.0
18,167,0,133,0.0,1.0
19,167,0,133,0.0,1.0
20,167,0,133,0.0,1.0
21,167,0,133,0.0,1.0
22,167,0,133,0.0,1.0
23,167,0,133,0.0,1.0
24,167,0,133,0.0,1.0
25,167,0,133,0.0,1.0
26,167,0,133,0.0,1.0
27,167,0,133,0.0,1.0
28,167,0,133,0.0,1.0
29,167,0,133,0.0,1.0
30,167,0,133,0.0,1.0
1,201,6,93,0.1,0.9
2,194,5,101,0.1,0.9
3,184,3,113,0.1,0.9
4,180,3,117,0.1,0.9
5,176,1,123,0.1,0.9
6,182,3,115,0.1,0.9
7,185,0,115,0.1,0.9
8,177,2,121,0.1,0.9
9,180,3,117,0.1,0.9
10,177,1,122,0.1,0.9
11,181,4,115,0.1,0.9
12,183,4,113,0.1,0.9
13,185,5,110,0.1,0.9
14,178,6,116,0.1,0.9
15,180,6,114,0.1,0.9
16,178,4,118,0.1,0.9
17,184,3,113,0.1,0.9
18,185,1,114,0.1,0.9
19,176,2,122,0.1,0.9
20,181,0,119,0.1,0.9
21,175,0,125,0.1,0.9
22,181,0,119,0.1,0.9
23,184,1,115,0.1,0.9
24,177,1,122,0.1,0.9
25,178,2,120,0.1,0.9
26,182,2,116,0.1,0.9
27,178,2,120,0.1,0.9
28,178,1,121,0.1,0.9
29,182,0,118,0.1,0.9
30,175,0,125,0.1,0.9
1,202,16,82,0.2,0.8
2,193,15,92,0.2,0.8
3,191,17,92,0.2,0.8
4,191,14,95,0.2,0.8
5,185,8,107,0.2,0.8
6,189,6,105,0.2,0.8
7,179,9,112,0.2,0.8
8,188,10,102,0.2,0.8
9,192,11,97,0.2,0.8
10,191,13,96,0.2,0.8
11,194,12,94,0.2,0.8
12,199,8,93,0.2,0.8
13,189,14,97,0.2,0.8
14,185,12,103,0.2,0.8
15,184,13,103,0.2,0.8
16,192,9,99,0.2,0.8
17,199,10,91,0.2,0.8
18,184,11,105,0.2,0.8
19,189,12,99,0.2,0.8
20,191,10,99,0.2,0.8
21,194,13,93,0.2,0.8
22,190,9,101,0.2,0.8
23,192,12,96,0.2,0.8
24,195,14,91,0.2,0.8
25,196,15,89,0.2,0.8
26,193,14,93,0.2,0.8
27,184,15,101,0.2,0.8
28,192,7,101,0.2,0.8
29,199,7,94,0.2,0.8
30,208,10,82,0.2,0.8
1,199,26,75,0.3,0.7
2,200,26,74,0.3,0.7
3,196,35,69,0.3,0.7
4,194,31,75,0.3,0.7
5,186,43,71,0.3,0.7
6,197,38,65,0.3,0.7
7,188,36,76,0.3,0.7
8,195,42,63,0.3,0.7
9,196,42,62,0.3,0.7
10,196,37,67,0.3,0.7
11,190,38,72,0.3,0.7
12,193,42,65,0.3,0.7
13,191,49,60,0.3,0.7
14,194,51,55,0.3,0.7
15,192,51,57,0.3,0.7
16,196,46,58,0.3,0.7
17,193,34,73,0.3,0.7
18,182,31,87,0.3,0.7
19,187,24,89,0.3,0.7
20,194,22,84,0.3,0.7
21,188,36,76,0.3,0.7
22,201,31,68,0.3,0.7
23,204,32,64,0.3,0.7
24,200,34,66,0.3,0.7
25,186,42,72,0.3,0.7
26,194,44,62,0.3,0.7
27,191,38,71,0.3,0.7
28,194,32,74,0.3,0.7
29,202,29,69,0.3,0.7
30,189,33,78,0.3,0.7
1,216,31,53,0.4,0.6
2,209,26,65,0.4,0.6
3,195,41,64,0.4,0.6
4,195,52,53,0.4,0.6
5,196,55,49,0.4,0.6
6,192,52,56,0.4,0.6
7,180,72,48,0.4,0.6
8,187,66,47,0.4,0.6
9,185,67,48,0.4,0.6
10,175,76,49,0.4,0.6
11,182,74,44,0.4,0.6
12,184,73,43,0.4,0.6
13,180,89,31,0.4,0.6
14,174,90,36,0.4,0.6
15,171,95,34,0.4,0.6
16,175,93,32,0.4,0.6
17,172,86,42,0.4,0.6
18,172,97,31,0.4,0.6
19,166,99,35,0.4,0.6
20,173,92,35,0.4,0.6
21,159,105,36,0.4,0.6
22,164,106,30,0.4,0.6
23,173,98,29,0.4,0.6
24,167,96,37,0.4,0.6
25,160,101,39,0.4,0.6
26,158,106,36,0.4,0.6
27,158,114,28,0.4,0.6
28,166,106,28,0.4,0.6
