Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,191,0,109,0.0,1.0
2,180,0,120,0.0,1.0
3,175,0,125,0.0,1.0
4,173,0,127,0.0,1.0
5,172,0,128,0.0,1.0
6,172,0,128,0.0,1.0
7,172,0,128,0.0,1.0
8,172,0,128,0.0,1.0
9,172,0,128,0.0,1.0
10,172,0,128,0.0,1.0
11,172,0,128,0.0,1.0
12,172,0,128,0.0,1.0
13,172,0,128,0.0,1.0
14,172,0,128,0.0,1.0
15,172,0,128,0.0,1.0
16,172,0,128,0.0,1.0
17,172,0,128,0.0,1.0
18,172,0,128,0.0,1.0
19,172,0,128,0.0,1.0
20,172,0,128,0.0,1.0
21,172,0,128,0.0,1.0
22,172,0,128,0.0,1.0
23,172,0,128,0.0,1.0
24,172,0,128,0.0,1.0
25,172,0,128,0.0,1.0
26,172,0,128,0.0,1.0
27,172,0,128,0.0,1.0
28,172,0,128,0.0,1.0
29,172,0,128,0.0,1.0
30,172,0,128,0.0,1.0
1,208,8,84,0.1,0.9
2,181,2,117,0.1,0.9
3,176,2,122,0.1,0.9
4,178,1,121,0.1,0.9
5,177,0,123,0.1,0.9
6,175,1,124,0.1,0.9
7,177,1,122,0.1,0.9
8,171,2,127,0.1,0.9
9,173,1,126,0.1,0.9
10,171,2,127,0.1,0.9
11,175,3,122,0.1,0.9
12,178,2,120,0.1,0.9
13,176,1,123,0.1,0.9
14,177,0,123,0.1,0.9
15,180,1,119,0.1,0.9
16,171,2,127,0.1,0.9
17,173,1,126,0.1,0.9
18,172,1,127,0.1,0.9
19,168,6,126,0.1,0.9
20,169,5,126,0.1,0.9
21,177,1,122,0.1,0.9
22,171,4,125,0.1,0.9
23,177,3,120,0.1,0.9
24,176,4,120,0.1,0.9
25,171,2,127,0.1,0.9
26,175,3,122,0.1,0.9
27,177,2,121,0.1,0.9
28,171,2,127,0.1,0.9
29,172,2,126,0.1,0.9
30,176,1,123,0.1,0.9
1,209,9,82,0.2,0.8
2,189,10,101,0.2,0.8
3,193,7,100,0.2,0.8
4,185,9,106,0.2,0.8
5,190,7,103,0.2,0.8
6,182,9,109,0.2,0.8
7,190,7,103,0.2,0.8
8,186,5,109,0.2,0.8
9,192,7,101,0.2,0.8
10,193,7,100,0.2,0.8
11,195,8,97,0.2,0.8
12,192,9,99,0.2,0.8
13,186,10,104,0.2,0.8
14,194,12,94,0.2,0.8
15,197,9,94,0.2,0.8
16,189,8,103,0.2,0.8
17,191,8,101,0.2,0.8
18,187,11,102,0.2,0.8
19,181,11,108,0.2,0.8
20,181,10,109,0.2,0.8
21,189,4,107,0.2,0.8
22,184,6,110,0.2,0.8
23,185,8,107,0.2,0.8
24,187,2,111,0.2,0.8
25,192,5,103,0.2,0.8
26,189,8,103,0.2,0.8
27,185,14,101,0.2,0.8
28,187,14,99,0.2,0.8
29,197,10,93,0.2,0.8
30,195,10,95,0.2,0.8
1,204,32,64,0.3,0.7
2,192,37,71,0.3,0.7
3,204,44,52,0.3,0.7
4,200,40,60,0.3,0.7
5,193,42,65,0.3,0.7
6,185,55,60,0.3,0.7
7,194,48,58,0.3,0.7
8,187,44,69,0.3,0.7
9,194,44,62,0.3,0.7
10,192,42,66,0.3,0.7
11,193,34,73,0.3,0.7
12,182,35,83,0.3,0.7
13,188,36,76,0.3,0.7
14,195,36,69,0.3,0.7
15,180,46,74,0.3,0.7
16,190,33,77,0.3,0.7
17,192,31,77,0.3,0.7
18,188,32,80,0.3,0.7
19,190,36,74,0.3,0.7
