Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,190,0,110,0.0,1.0
2,173,0,127,0.0,1.0
3,172,0,128,0.0,1.0
4,170,0,130,0.0,1.0
5,170,0,130,0.0,1.0
6,170,0,130,0.0,1.0
7,170,0,130,0.0,1.0
8,170,0,130,0.0,1.0
9,170,0,130,0.0,1.0
10,170,0,130,0.0,1.0
11,170,0,130,0.0,1.0
12,170,0,130,0.0,1.0
13,170,0,130,0.0,1.0
14,170,0,130,0.0,1.0
15,170,0,130,0.0,1.0
16,170,0,130,0.0,1.0
17,170,0,130,0.0,1.0
18,170,0,130,0.0,1.0
19,170,0,130,0.0,1.0
20,170,0,130,0.0,1.0
21,170,0,130,0.0,1.0
22,170,0,130,0.0,1.0
23,170,0,130,0.0,1.0
24,170,0,130,0.0,1.0
25,170,0,130,0.0,1.0
26,170,0,130,0.0,1.0
27,170,0,130,0.0,1.0
28,170,0,130,0.0,1.0
29,170,0,130,0.0,1.0
30,170,0,130,0.0,1.0
1,196,2,102,0.1,0.9
2,187,2,111,0.1,0.9
3,184,2,114,0.1,0.9
4,176,1,123,0.1,0.9
5,179,1,120,0.1,0.9
6,176,1,123,0.1,0.9
7,180,1,119,0.1,0.9
8,183,1,116,0.1,0.9
9,180,1,119,0.1,0.9
10,179,1,120,0.1,0.9
11,175,1,124,0.1,0.9
12,179,1,120,0.1,0.9
13,181,0,119,0.1,0.9
14,180,1,119,0.1,0.9
15,187,2,111,0.1,0.9
16,184,1,115,0.1,0.9
17,182,1,117,0.1,0.9
18,175,4,121,0.1,0.9
19,184,4,112,0.1,0.9
20,180,0,120,0.1,0.9
21,177,0,123,0.1,0.9
22,175,1,124,0.1,0.9
23,177,0,123,0.1,0.9
24,176,0,124,0.1,0.9
25,173,1,126,0.1,0.9
26,172,2,126,0.1,0.9
27,171,1,128,0.1,0.9
28,179,0,121,0.1,0.9
29,170,0,130,0.1,0.9
30,169,1,130,0.1,0.9
1,207,14,79,0.2,0.8
2,204,6,90,0.2,0.8
3,207,7,86,0.2,0.8
4,203,7,90,0.2,0.8
5,197,4,99,0.2,0.8
6,190,6,104,0.2,0.8
7,191,6,103,0.2,0.8
8,201,4,95,0.2,0.8
9,194,6,100,0.2,0.8
10,188,4,108,0.2,0.8
11,188,6,106,0.2,0.8
12,194,6,100,0.2,0.8
13,195,8,97,0.2,0.8
14,198,8,94,0.2,0.8
15,195,12,93,0.2,0.8
16,201,5,94,0.2,0.8
17,199,6,95,0.2,0.8
18,193,6,101,0.2,0.8
19,187,2,111,0.2,0.8
20,189,4,107,0.2,0.8
21,188,6,106,0.2,0.8
22,198,4,98,0.2,0.8
23,187,8,105,0.2,0.8
24,191,6,103,0.2,0.8
25,181,4,115,0.2,0.8
26,189,7,104,0.2,0.8
27,193,2,105,0.2,0.8
28,185,5,110,0.2,0.8
29,186,3,111,0.2,0.8
30,199,5,96,0.2,0.8
1,215,21,64,0.3,0.7
2,214,31,55,0.3,0.7
3,206,23,71,0.3,0.7
4,204,24,72,0.3,0.7
5,210,12,78,0.3,0.7
6,205,18,77,0.3,0.7
7,200,22,78,0.3,0.7
8,212,19,69,0.3,0.7
9,212,17,71,0.3,0.7
10,211,21,68,0.3,0.7
11,212,20,68,0.3,0.7
12,210,16,74,0.3,0.7
13,212,17,71,0.3,0.7
14,209,15,76,0.3,0.7
15,207,15,78,0.3,0.7
16,210,12,78,0.3,0.7
17,205,18,77,0.3,0.7
18,207,19,74,0.3,0.7
19,209,21,70,0.3,0.7
20,210,20,70,0.3,0.7
21,200,23,77,0.3,0.7
22,198,25,77,0.3,0.7
23,202,25,73,0.3,0.7
24,216,12,72,0.3,0.7
25,200,14,86,0.3,0.7
26,207,12,81,0.3,0.7
27,204,13,83,0.3,0.7
28,206,12,82,0.3,0.7
29,211,16,73,0.3,0.7
30,201,25,74,0.3,0.7
1,209,41,50,0.4,0.6
2,215,42,43,0.4,0.6
3,206,59,35,0.4,0.6
4,205,62,33,0.4,0.6
5,205,67,28,0.4,0.6
6,201,74,25,0.4,0.6
7,201,72,27,0.4,0.6
8,188,74,38,0.4,0.6
9,198,72,30,0.4,0.6
10,197,63,40,0.4,0.6
11,210,57,33,0.4,0.6
12,207,58,35,0.4,0.6
13,215,44,41,0.4,0.6
14,213,45,42,0.4,0.6
15,208,50,42,0.4,0.6
16,202,50,48,0.4,0.6
17,201,57,42,0.4,0.6
18,209,54,37,0.4,0.6
19,197,67,36,0.4,0.6
20,200,57,43,0.4,0.6
21,196,60,44,0.4,0.6
22,217,50,33,0.4,0.6
23,193,60,47,0.4,0.6
24,194,61,45,0.4,0.6
25,213,45,42,0.4,0.6
26,213,42,45,0.4,0.6
27,203,57,40,0.4,0.6
28,202,68,30,0.4,0.6
29,190,74,36,0.4,0.6
30,200,69,31,0.4,0.6
1,210,61,29,0.5,0.5
2,196,71,33,0.5,0.5
3,193,82,25,0.5,0.5
4,187,103,10,0.5,0.5
5,173,110,17,0.5,0.5
6,175,113,12,0.5,0.5
7,162,130,8,0.5,0.5
8,144,151,5,0.5,0.5
9,136,160,4,0.5,0.5
10,123,165,12,0.5,0.5
11,119,177,4,0.5,0.5
12,106,189,5,0.5,0.5
13,88,205,7,0.5,0.5
14,96,203,1,0.5,0.5
15,97,200,3,0.5,0.5
16,91,205,4,0.5,0.5
17,83,214,3,0.5,0.5
18,85,213,2,0.5,0.5
19,79,218,3,0.5,0.5
20,60,240,0,0.5,0.5
21,64,234,2,0.5,0.5
22,69,231,0,0.5,0.5
23,51,246,3,0.5,0.5
24,54,245,1,0.5,0.5
25,63,236,1,0.5,0.5
26,40,258,2,0.5,0.5
27,47,251,2,0.5,0.5
28,56,244,0,0.5,0.5
29,52,247,1,0.5,0.5
30,62,237,1,0.5,0.5
1,182,94,24,0.6,0.4
2,155,135,10,0.6,0.4
3,133,159,8,0.6,0.4
4,104,193,3,0.6,0.4
5,73,225,2,0.6,0.4
6,69,229,2,0.6,0.4
7,51,249,0,0.6,0.4
8,44,256,0,0.6,0.4
9,35,263,2,0.6,0.4
10,31,269,0,0.6,0.4
11,24,276,0,0.6,0.4
12,25,275,0,0.6,0.4
13,19,281,0,0.6,0.4
14,14,286,0,0.6,0.4
15,12,288,0,0.6,0.4
16,11,289,0,0.6,0.4
17,14,286,0,0.6,0.4
18,14,286,0,0.6,0.4
19,11,289,0,0.6,0.4
20,5,295,0,0.6,0.4
21,6,294,0,0.6,0.4
22,10,290,0,0.6,0.4
23,10,290,0,0.6,0.4
24,5,295,0,0.6,0.4
