Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,190,0,110,0.0,1.0
2,176,0,124,0.0,1.0
3,173,0,127,0.0,1.0
4,173,0,127,0.0,1.0
5,172,0,128,0.0,1.0
6,172,0,128,0.0,1.0
7,172,0,128,0.0,1.0
8,172,0,128,0.0,1.0
9,172,0,128,0.0,1.0
10,172,0,128,0.0,1.0
11,172,0,128,0.0,1.0
12,172,0,128,0.0,1.0
13,172,0,128,0.0,1.0
14,172,0,128,0.0,1.0
15,172,0,128,0.0,1.0
16,172,0,128,0.0,1.0
17,172,0,128,0.0,1.0
18,172,0,128,0.0,1.0
19,172,0,128,0.0,1.0
20,172,0,128,0.0,1.0
21,172,0,128,0.0,1.0
22,172,0,128,0.0,1.0
23,172,0,128,0.0,1.0
24,172,0,128,0.0,1.0
25,172,0,128,0.0,1.0
26,172,0,128,0.0,1.0
27,172,0,128,0.0,1.0
28,172,0,128,0.0,1.0
29,172,0,128,0.0,1.0
30,172,0,128,0.0,1.0
1,199,1,100,0.1,0.9
2,189,2,109,0.1,0.9
3,181,1,118,0.1,0.9
4,170,0,130,0.1,0.9
5,175,2,123,0.1,0.9
6,173,1,126,0.1,0.9
7,175,1,124,0.1,0.9
8,183,1,116,0.1,0.9
9,180,0,120,0.1,0.9
10,178,1,121,0.1,0.9
11,175,0,125,0.1,0.9
12,177,2,121,0.1,0.9
13,175,3,122,0.1,0.9
14,173,2,125,0.1,0.9
15,178,0,122,0.1,0.9
16,178,1,121,0.1,0.9
17,177,1,122,0.1,0.9
18,176,1,123,0.1,0.9
19,176,1,123,0.1,0.9
20,173,1,126,0.1,0.9
21,174,0,126,0.1,0.9
22,173,3,124,0.1,0.9
23,177,0,123,0.1,0.9
24,173,1,126,0.1,0.9
25,174,1,125,0.1,0.9
26,173,1,126,0.1,0.9
27,178,0,122,0.1,0.9
28,171,1,128,0.1,0.9
29,169,0,131,0.1,0.9
30,173,0,127,0.1,0.9
1,209,11,80,0.2,0.8
2,202,10,88,0.2,0.8
3,193,4,103,0.2,0.8
4,188,5,107,0.2,0.8
5,187,6,107,0.2,0.8
6,197,3,100,0.2,0.8
7,198,6,96,0.2,0.8
8,203,4,93,0.2,0.8
9,192,7,101,0.2,0.8
10,195,8,97,0.2,0.8
11,196,7,97,0.2,0.8
12,193,5,102,0.2,0.8
13,195,3,102,0.2,0.8
14,197,4,99,0.2,0.8
15,193,4,103,0.2,0.8
16,197,0,103,0.2,0.8
17,194,2,104,0.2,0.8
18,193,8,99,0.2,0.8
19,201,5,94,0.2,0.8
20,191,8,101,0.2,0.8
21,191,8,101,0.2,0.8
22,195,4,101,0.2,0.8
23,191,5,104,0.2,0.8
24,185,6,109,0.2,0.8
25,189,7,104,0.2,0.8
26,187,5,108,0.2,0.8
27,184,3,113,0.2,0.8
28,187,4,109,0.2,0.8
29,193,7,100,0.2,0.8
30,182,5,113,0.2,0.8
1,222,19,59,0.3,0.7
2,203,28,69,0.3,0.7
3,206,23,71,0.3,0.7
4,209,22,69,0.3,0.7
5,208,23,69,0.3,0.7
6,200,24,76,0.3,0.7
7,209,18,73,0.3,0.7
8,198,19,83,0.3,0.7
9,209,22,69,0.3,0.7
10,211,23,66,0.3,0.7
11,213,19,68,0.3,0.7
12,205,16,79,0.3,0.7
13,205,18,77,0.3,0.7
14,198,20,82,0.3,0.7
15,205,24,71,0.3,0.7
16,206,27,67,0.3,0.7
17,205,30,65,0.3,0.7
18,213,27,60,0.3,0.7
19,211,24,65,0.3,0.7
20,201,21,78,0.3,0.7
21,196,22,82,0.3,0.7
22,194,24,82,0.3,0.7
23,203,23,74,0.3,0.7
24,216,20,64,0.3,0.7
25,212,24,64,0.3,0.7
26,208,25,67,0.3,0.7
27,215,22,63,0.3,0.7
28,213,18,69,0.3,0.7
29,198,19,83,0.3,0.7
30,211,17,72,0.3,0.7
1,218,36,46,0.4,0.6
2,214,40,46,0.4,0.6
3,211,45,44,0.4,0.6
4,194,58,48,0.4,0.6
5,205,52,43,0.4,0.6
6,199,55,46,0.4,0.6
7,205,63,32,0.4,0.6
8,194,71,35,0.4,0.6
9,182,80,38,0.4,0.6
10,199,68,33,0.4,0.6
11,188,80,32,0.4,0.6
12,185,84,31,0.4,0.6
13,186,92,22,0.4,0.6
14,178,100,22,0.4,0.6
15,169,109,22,0.4,0.6
16,178,97,25,0.4,0.6
17,178,92,30,0.4,0.6
18,186,83,31,0.4,0.6
19,178,95,27,0.4,0.6
20,178,90,32,0.4,0.6
21,186,83,31,0.4,0.6
22,178,93,29,0.4,0.6
23,198,75,27,0.4,0.6
24,200,70,30,0.4,0.6
25,199,67,34,0.4,0.6
26,190,74,36,0.4,0.6
27,198,65,37,0.4,0.6
28,185,70,45,0.4,0.6
29,193,71,36,0.4,0.6
30,189,72,39,0.4,0.6
1,206,63,31,0.5,0.5
2,183,90,27,0.5,0.5
3,181,97,22,0.5,0.5
4,172,112,16,0.5,0.5
5,157,128,15,0.5,0.5
6,157,126,17,0.5,0.5
7,144,141,15,0.5,0.5
8,127,159,14,0.5,0.5
9,145,145,10,0.5,0.5
10,125,162,13,0.5,0.5
11,122,165,13,0.5,0.5
12,113,181,6,0.5,0.5
13,108,186,6,0.5,0.5
14,98,197,5,0.5,0.5
15,86,212,2,0.5,0.5
16,88,208,4,0.5,0.5
17,66,230,4,0.5,0.5
18,64,233,3,0.5,0.5
19,63,235,2,0.5,0.5
20,62,237,1,0.5,0.5
21,51,248,1,0.5,0.5
22,49,248,3,0.5,0.5
23,43,255,2,0.5,0.5
24,34,266,0,0.5,0.5
25,25,275,0,0.5,0.5
26,25,274,1,0.5,0.5
27,24,275,1,0.5,0.5
28,16,284,0,0.5,0.5
29,14,286,0,0.5,0.5
30,14,284,2,0.5,0.5
1,214,61,25,0.6,0.4
2,177,105,18,0.6,0.4
3,148,138,14,0.6,0.4
4,129,162,9,0.6,0.4
5,98,194,8,0.6,0.4
6,88,210,2,0.6,0.4
7,63,235,2,0.6,0.4
8,61,239,0,0.6,0.4
9,45,255,0,0.6,0.4
10,32,267,1,0.6,0.4
11,31,268,1,0.6,0.4
12,28,272,0,0.6,0.4
13,24,274,2,0.6,0.4
14,26,273,1,0.6,0.4
15,25,273,2,0.6,0.4
16,25,273,2,0.6,0.4
17,26,274,0,0.6,0.4
18,18,282,0,0.6,0.4
19,16,284,0,0.6,0.4
20,17,283,0,0.6,0.4
21,12,287,1,0.6,0.4
22,14,286,0,0.6,0.4
23,9,290,1,0.6,0.4
24,9,290,1,0.6,0.4
25,9,291,0,0.6,0.4
26,9,291,0,0.6,0.4
27,5,295,0,0.6,0.4
28,2,298,0,0.6,0.4
29,2,297,1,0.6,0.4
30,3,297,0,0.6,0.4
1,186,99,15,0.7,0.30000000000000004
2,139,155,6,0.7,0.30000000000000004
3,90,209,1,0.7,0.30000000000000004
4,64,236,0,0.7,0.30000000000000004
