Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,191,0,109,0.0,1.0
2,175,0,125,0.0,1.0
3,172,0,128,0.0,1.0
4,171,0,129,0.0,1.0
5,171,0,129,0.0,1.0
6,171,0,129,0.0,1.0
7,171,0,129,0.0,1.0
8,171,0,129,0.0,1.0
9,171,0,129,0.0,1.0
10,171,0,129,0.0,1.0
11,171,0,129,0.0,1.0
12,171,0,129,0.0,1.0
13,171,0,129,0.0,1.0
14,171,0,129,0.0,1.0
15,171,0,129,0.0,1.0
16,171,0,129,0.0,1.0
17,171,0,129,0.0,1.0
18,171,0,129,0.0,1.0
19,171,0,129,0.0,1.0
20,171,0,129,0.0,1.0
21,171,0,129,0.0,1.0
22,171,0,129,0.0,1.0
23,171,0,129,0.0,1.0
24,171,0,129,0.0,1.0
25,171,0,129,0.0,1.0
26,171,0,129,0.0,1.0
27,171,0,129,0.0,1.0
28,171,0,129,0.0,1.0
29,171,0,129,0.0,1.0
30,171,0,129,0.0,1.0
1,202,9,89,0.1,0.9
2,192,4,104,0.1,0.9
3,185,1,114,0.1,0.9
4,186,2,112,0.1,0.9
5,186,0,114,0.1,0.9
6,179,1,120,0.1,0.9
7,185,1,114,0.1,0.9
8,178,2,120,0.1,0.9
9,179,1,120,0.1,0.9
10,180,0,120,0.1,0.9
11,180,1,119,0.1,0.9
12,178,2,120,0.1,0.9
13,174,5,121,0.1,0.9
14,186,0,114,0.1,0.9
15,184,1,115,0.1,0.9
16,180,1,119,0.1,0.9
17,178,1,121,0.1,0.9
18,175,3,122,0.1,0.9
19,172,2,126,0.1,0.9
20,177,4,119,0.1,0.9
21,179,1,120,0.1,0.9
22,179,1,120,0.1,0.9
23,177,0,123,0.1,0.9
24,181,0,119,0.1,0.9
25,173,2,125,0.1,0.9
26,180,0,120,0.1,0.9
27,175,0,125,0.1,0.9
28,174,1,125,0.1,0.9
29,173,3,124,0.1,0.9
30,174,0,126,0.1,0.9
1,207,17,76,0.2,0.8
2,202,10,88,0.2,0.8
3,190,7,103,0.2,0.8
4,199,4,97,0.2,0.8
5,195,4,101,0.2,0.8
6,208,5,87,0.2,0.8
7,203,6,91,0.2,0.8
8,190,4,106,0.2,0.8
9,191,9,100,0.2,0.8
10,190,6,104,0.2,0.8
11,195,6,99,0.2,0.8
12,195,3,102,0.2,0.8
13,196,6,98,0.2,0.8
14,187,7,106,0.2,0.8
15,180,8,112,0.2,0.8
16,187,6,107,0.2,0.8
17,198,2,100,0.2,0.8
18,197,4,99,0.2,0.8
19,195,4,101,0.2,0.8
20,195,4,101,0.2,0.8
21,188,10,102,0.2,0.8
22,195,11,94,0.2,0.8
23,191,14,95,0.2,0.8
24,195,8,97,0.2,0.8
25,202,6,92,0.2,0.8
26,196,7,97,0.2,0.8
27,198,5,97,0.2,0.8
28,191,7,102,0.2,0.8
29,188,10,102,0.2,0.8
30,193,8,99,0.2,0.8
1,215,19,66,0.3,0.7
2,202,22,76,0.3,0.7
3,204,23,73,0.3,0.7
4,210,16,74,0.3,0.7
5,206,27,67,0.3,0.7
6,201,29,70,0.3,0.7
7,203,35,62,0.3,0.7
8,204,33,63,0.3,0.7
9,204,30,66,0.3,0.7
10,196,33,71,0.3,0.7
11,196,27,77,0.3,0.7
12,198,23,79,0.3,0.7
13,202,19,79,0.3,0.7
14,212,21,67,0.3,0.7
15,206,25,69,0.3,0.7
16,203,18,79,0.3,0.7
17,198,21,81,0.3,0.7
18,198,20,82,0.3,0.7
19,214,14,72,0.3,0.7
20,200,16,84,0.3,0.7
21,197,18,85,0.3,0.7
22,212,12,76,0.3,0.7
23,194,21,85,0.3,0.7
24,201,14,85,0.3,0.7
25,218,18,64,0.3,0.7
26,210,22,68,0.3,0.7
27,200,26,74,0.3,0.7
28,195,27,78,0.3,0.7
29,198,24,78,0.3,0.7
30,198,32,70,0.3,0.7
1,207,42,51,0.4,0.6
2,216,36,48,0.4,0.6
3,199,57,44,0.4,0.6
4,195,66,39,0.4,0.6
5,194,63,43,0.4,0.6
6,203,61,36,0.4,0.6
7,181,78,41,0.4,0.6
8,188,77,35,0.4,0.6
9,202,66,32,0.4,0.6
10,192,72,36,0.4,0.6
11,189,72,39,0.4,0.6
12,187,75,38,0.4,0.6
13,189,72,39,0.4,0.6
14,184,87,29,0.4,0.6
15,193,71,36,0.4,0.6
16,179,83,38,0.4,0.6
17,180,73,47,0.4,0.6
18,192,73,35,0.4,0.6
19,181,84,35,0.4,0.6
