Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,192,0,108,0.0,1.0
2,173,0,127,0.0,1.0
3,167,0,133,0.0,1.0
4,166,0,134,0.0,1.0
5,165,0,135,0.0,1.0
6,165,0,135,0.0,1.0
7,165,0,135,0.0,1.0
8,165,0,135,0.0,1.0
9,165,0,135,0.0,1.0
10,165,0,135,0.0,1.0
11,165,0,135,0.0,1.0
12,165,0,135,0.0,1.0
13,165,0,135,0.0,1.0
14,165,0,135,0.0,1.0
15,165,0,135,0.0,1.0
16,165,0,135,0.0,1.0
17,165,0,135,0.0,1.0
18,165,0,135,0.0,1.0
19,165,0,135,0.0,1.0
20,165,0,135,0.0,1.0
21,165,0,135,0.0,1.0
22,165,0,135,0.0,1.0
23,165,0,135,0.0,1.0
24,165,0,135,0.0,1.0
25,165,0,135,0.0,1.0
26,165,0,135,0.0,1.0
27,165,0,135,0.0,1.0
28,165,0,135,0.0,1.0
29,165,0,135,0.0,1.0
30,165,0,135,0.0,1.0
1,204,4,92,0.1,0.9
2,193,3,104,0.1,0.9
3,188,4,108,0.1,0.9
4,185,0,115,0.1,0.9
5,180,2,118,0.1,0.9
6,176,1,123,0.1,0.9
7,180,2,118,0.1,0.9
8,177,2,121,0.1,0.9
9,183,1,116,0.1,0.9
10,182,1,117,0.1,0.9
11,183,1,116,0.1,0.9
12,184,1,115,0.1,0.9
13,180,2,118,0.1,0.9
14,179,2,119,0.1,0.9
15,173,1,126,0.1,0.9
16,178,1,121,0.1,0.9
17,180,0,120,0.1,0.9
18,177,0,123,0.1,0.9
19,178,2,120,0.1,0.9
20,176,3,121,0.1,0.9
21,177,3,120,0.1,0.9
22,177,0,123,0.1,0.9
23,178,1,121,0.1,0.9
24,176,2,122,0.1,0.9
25,172,1,127,0.1,0.9
26,172,0,128,0.1,0.9
27,171,2,127,0.1,0.9
28,179,0,121,0.1,0.9
29,175,0,125,0.1,0.9
30,173,1,126,0.1,0.9
1,212,14,74,0.2,0.8
2,207,8,85,0.2,0.8
3,194,7,99,0.2,0.8
4,190,6,104,0.2,0.8
5,200,4,96,0.2,0.8
6,195,4,101,0.2,0.8
7,192,3,105,0.2,0.8
8,194,2,104,0.2,0.8
9,198,5,97,0.2,0.8
10,200,8,92,0.2,0.8
11,197,8,95,0.2,0.8
12,196,7,97,0.2,0.8
13,200,3,97,0.2,0.8
14,193,7,100,0.2,0.8
15,200,5,95,0.2,0.8
16,196,3,101,0.2,0.8
17,197,5,98,0.2,0.8
18,183,8,109,0.2,0.8
19,187,6,107,0.2,0.8
20,195,5,100,0.2,0.8
21,192,9,99,0.2,0.8
22,205,2,93,0.2,0.8
23,184,4,112,0.2,0.8
24,192,5,103,0.2,0.8
25,197,4,99,0.2,0.8
26,201,7,92,0.2,0.8
27,190,7,103,0.2,0.8
28,195,10,95,0.2,0.8
29,195,7,98,0.2,0.8
30,206,8,86,0.2,0.8
1,209,29,62,0.3,0.7
2,210,25,65,0.3,0.7
3,205,26,69,0.3,0.7
4,205,21,74,0.3,0.7
